station_id,name,capacity,num_bikes_available,num_docks_available,lat,lon,is_renting,is_returning
7079,McGill St / Church St,19,3,13,43.660694,-79.379052,TRUE,TRUE
7083,Danforth Ave / Barrington Ave,15,0,14,43.688325,-79.300463,TRUE,TRUE
7084,High Park - Grenadier Cafe,11,3,8,43.645599,-79.4657123,TRUE,TRUE
7085,Danforth Ave / Westlake Ave,15,10,5,43.687323,-79.304848,TRUE,TRUE
7086,High Park - West Rd,23,3,20,43.651922,-79.465693,TRUE,TRUE
7087,Danforth Ave / Aldridge Ave,11,6,5,43.684758,-79.316767,TRUE,TRUE
7088,Danforth Ave / Coxwell Ave,15,7,7,43.683378,-79.322961,TRUE,TRUE
7089,Church St  / Wood St,27,2,24,43.662712,-79.379903,TRUE,TRUE
7090,Danforth Ave / Lamb Ave,19,7,12,43.681991,-79.329455,TRUE,TRUE
7091,Donlands Subway Station,15,2,13,43.681114,-79.3373885,TRUE,TRUE
7093,Danforth Ave / Gough Ave,25,4,20,43.678401,-79.346289,TRUE,TRUE
7094,14 Arundel Ave,25,1,23,43.6784834,-79.3513564,TRUE,TRUE
7095,Danforth Ave / Ellerbeck St,14,3,10,43.677076,-79.35667,TRUE,TRUE
7096,Lower Don River Trail and Taylor Creek Trail,19,10,8,43.7027268,-79.3336809,TRUE,TRUE
7097,Riverdale Park North (Broadview Ave),15,3,10,43.671172,-79.354704,TRUE,TRUE
7098,Riverdale Park South (Broadview Ave),15,13,2,43.667819,-79.35347,TRUE,TRUE
7099,Cherry St / Mill St,15,0,14,43.6513927,-79.3579466,TRUE,TRUE
7100,Dundas St E / Regent Park Blvd,27,1,26,43.660207,-79.361275,TRUE,TRUE
7101,Lower Sherbourne St / The Esplanade,27,0,27,43.648655,-79.367061,TRUE,TRUE
7102,Nelson St / Duncan St,21,14,4,43.648711,-79.389728,TRUE,TRUE
7103,Jimmie Simpson Park (Queen St E),15,6,5,43.6605603,-79.3437663,TRUE,TRUE
7104,King St E / River St,15,1,13,43.65678478,-79.35627385,TRUE,TRUE
7105,Queen St E / Sackville St,15,5,10,43.6561111,-79.36138889,TRUE,TRUE
7106,Mill St / Tannery Rd,27,16,11,43.652219,-79.354455,TRUE,TRUE
7107,Cherry St / Distillery Ln,15,4,10,43.650279,-79.356832,TRUE,TRUE
7108,Front St E / Cherry St,15,2,12,43.652686,-79.358395,TRUE,TRUE
7109,Seaton St / Dundas St E - SMART,32,1,31,43.658777,-79.369596,TRUE,TRUE
7110,Queen St E / Berkeley St,15,4,11,43.6552778,-79.36583333,TRUE,TRUE
7111,King St W / Douro St,11,1,9,43.640885,-79.416379,TRUE,TRUE
7112,Liberty St / Fraser Ave Green P,19,17,1,43.637981,-79.424146,TRUE,TRUE
7113,Parliament St / Aberdeen Ave,15,5,10,43.665278,-79.368333,TRUE,TRUE
7114,Carlton St / Parliament St,27,9,17,43.664524,-79.36793,TRUE,TRUE
7115,Howard St / Sherbourne St,31,0,30,43.6712581,-79.376367,TRUE,TRUE
7116,Bloor St E / Parliament St,19,8,10,43.6719461,-79.37245115,TRUE,TRUE
7117,640 Bloor Street E,19,0,16,43.67468857,-79.36701962,TRUE,TRUE
7118,King St W / Bay St (East Side),19,19,0,43.648575,-79.380042,TRUE,TRUE
7119,Sumach St / Carlton St (Riverdale Farm),15,9,6,43.665867,-79.362506,TRUE,TRUE
7120,Gerrard St E / River St,11,6,4,43.663993,-79.358534,TRUE,TRUE
7121,Jarvis St / Dundas St E,27,8,18,43.657266,-79.374756,TRUE,TRUE
7122,Niagara St / Tecumseth St,15,1,14,43.641389,-79.404444,TRUE,TRUE
7123,420 Wellington St W,15,14,0,43.643834,-79.396649,TRUE,TRUE
7124,Dundas St E / Broadview Ave,19,11,8,43.662365,-79.351104,TRUE,TRUE
7126,Yonge St / Yorkville Ave,17,2,13,43.671944,-79.387778,TRUE,TRUE
7127,Bay St / Scollard St,15,2,12,43.672152,-79.39018,TRUE,TRUE
7128,Yonge St / Aylmer Ave,23,11,10,43.675492,-79.388858,TRUE,TRUE
7129,Davenport Rd / Avenue Rd,11,1,9,43.674991,-79.396273,TRUE,TRUE
7130,Davenport Rd / Bedford Rd,15,0,14,43.674446,-79.398331,TRUE,TRUE
7131,Taddle Creek Park,15,1,13,43.66986,-79.398443,TRUE,TRUE
7132,Kendal Ave / Spadina Rd,9,2,6,43.670318,-79.405181,TRUE,TRUE
7133,Summerhill Subway Station,11,10,1,43.681944,-79.390556,TRUE,TRUE
7135,Hanna Ave / Liberty St,18,12,6,43.6386086,-79.41965437,TRUE,TRUE
7137,Davenport Rd / Bathurst St,27,0,26,43.676667,-79.416111,TRUE,TRUE
7138,Davenport Rd / Christie St,27,0,26,43.675278,-79.423889,TRUE,TRUE
7139,Glen Edyth Dr / Davenport Rd,15,4,11,43.677778,-79.405556,TRUE,TRUE
7140,Macpherson Ave / Spadina Rd,15,3,12,43.675791,-79.40698,TRUE,TRUE
7141,Bridgman Ave / Kendal Ave,15,4,11,43.675556,-79.410278,TRUE,TRUE
7142,Bridgman Ave / Bathurst St,15,0,15,43.674444,-79.414722,TRUE,TRUE
7143,Kendal Ave / Bernard Ave,15,2,13,43.671513,-79.408317,TRUE,TRUE
7144,Palmerston Ave / Vermont Ave,15,0,15,43.671389,-79.416389,TRUE,TRUE
7146,Christie St / Benson Ave (Wychwood Barns),19,10,9,43.68,-79.425,TRUE,TRUE
7147,King St W / Fraser Ave,15,14,1,43.6394444,-79.42527778,TRUE,TRUE
7148,King St W / Joe Shuster Way,23,16,7,43.639444,-79.423611,TRUE,TRUE
7149,Yarmouth Rd / Christie St,11,0,11,43.67,-79.42083333,TRUE,TRUE
7150,Dufferin St / Sylvan Av (Dufferin Grove Park),19,11,7,43.6555556,-79.43361111,TRUE,TRUE
7151,Essex St / Christie St - SMART,19,0,18,43.6686111,-79.42027778,TRUE,TRUE
7152,Ossington Ave / Bloor St W,11,0,10,43.661705,-79.425734,TRUE,TRUE
7153,Bloor St W / Christie St,19,0,19,43.6638889,-79.41888889,TRUE,TRUE
7154,Bathurst Subway Station,23,2,20,43.6666667,-79.41166667,TRUE,TRUE
7155,Bathurst St / Lennox St,19,9,9,43.663808,-79.410491,TRUE,TRUE
